รหัสสินทรัพย์,รายการสินทรัพย์,ยี่ห้อ,รุ่น-แบบ,รหัส,แบบ/ขนาด,วิธีการนำเข้า,หมายเลขตัวถัง,หมายเลขเครื่อง,ทะเบียนรถยนต์,เลขทะเบียนสินทรัพย์เก่า,ราคาสินทรัพย์เมื่อมีการนำข้อมูลเข้า,ราคาซาก,อายุการใช้งาน (ปี),ค่าเสื่อมราคา,จำนวนเนี้อที่(ตารางเมตร),เลขที่โฉนด,เลขที่ นส.3ก,แยกตามภูมิภาค,แยกตามจังหวัด,รหัสหน่วยงาน,วีธีการได้มาของสินทรัพย์,วันที่ขึ้นทะเบียน (เดือน/วัน/ปี ค.ศ.),วันที่ได้รับสินทรัพย์ (เดือน/วัน/ปี ค.ศ.),วันที่เริ่มต้นประกัน (เดือน/วัน/ปี ค.ศ.),วันที่สิ้นสุดประกัน (เดือน/วัน/ปี ค.ศ.),วันที่เริ่มต้นคิดค่าเสื่อมราคา (เดือน/วัน/ปี ค.ศ.),ชื่อหน่วยงานภายนอกผู้โอน/บริจาคสินทรัพย์,หมายเหตุ,เลขที่ใบสำคัญ,วันที่ใบสำคัญ(เดือน/วัน/ปี ค.ศ.)
c_code, c_name, c_brand, c_model, c_serial, c_type, c_method_type, c_number_body, c_number_mech, c_car_license, c_asset_code_old, c_cost_asset, c_cost_ruins, i_period_year, f_depreciate, p_area, p_deed, p_num_area, p_division, p_province, dc_cost_id, dc_asset_method_id, d_register_date, d_receive_date, d_start_warranty, d_end_warranty, d_depreciate, c_ext_cnt, c_comment, c_doc_imp, d_doc_imp
2020190,อาคารสถานีเครื่องส่งโทรทัศน์หนองแขม,,"ค่าก่อสร้างทั้งหมด 5 งวด,ค่าออกแบบและค่าควบคุมงาน",,,,,,,,4806363.42,0,10,4806363.42,,,,,,,,2000-01-30,2000-01-30,,,,,,101,
2020190,อาคารสถานีเครื่องส่งโทรทัศน์หนองแขม,,"ค่าก่อสร้างทั้งหมด 5 งวด,ค่าออกแบบและค่าควบคุมงาน",,,,,,,,4806363.42,0,10,4806363.42,,,,,,,,2000-01-30,2000-01-30,,,,,,,
