,,,,,,,,,,,,,,,,txtTitle,,,,,,
,,,,,,,,,,,,,,,,ระบบการเงิน,,,,,,
repName,repCode,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,PAYCODE,Text90,RECEIVEDATETIME,CR,Text97,Text116,Text119,Text122,Text99,CREATEUSERID,Text95,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2019-11-01,03TH630060,กิจการร่วมค้าสแปน-ยูนิคอร์น,036300338,โครงการต่อเนื่อง,"จ้างควบคุมงานโครงการก่อสร้างอาคารหอพักแพทย์และพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช เบิกจ่ายเงินงวดที่ 6 จำนวนเงิน 631,666.50 บาท ใบขอเบิกเลขที่ D0363120039 เงินกันเหลื่อมรายได้ จำนวนเงิน 368,333.50 บาท ใบขอเบิกเลขที่ D0363120052","368,333.50",3442.37,0.00,0.00,0.00,364891.13,,2019-11-01,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,402425: กิจการร่วมค้าสแปน-ยูนิคอร์น,10249048,,,
,,2019-11-01,03TH630061,กิจการร่วมค้าสแปน-ยูนิคอร์น,036300339,โครงการต่อเนื่อง,"จ้างควบคุมงานโครงการก่อสร้างอาคารหอพักแพทย์และพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช เบิกจ่ายเงินงวดที่ 6 จำนวนเงิน 631,666.50 บาท ใบขอเบิกเลขที่ D0363120039 เงินกันเหลื่อมรายได้ จำนวนเงิน 368,333.50 บาท ใบขอเบิกเลขที่ D0363120052","263,333.00",2461.06,0.00,0.00,0.00,260871.94,,2019-11-01,,,,,,,
,,,,,,,,,,,,,,,,PAYMENTDATE,PREPAYMENTCODE,BUDGETGROUPID,CR,Text97,CREATEUSERID,Text99
,,,,,,,,,,,,,,,,,,402425: กิจการร่วมค้าสแปน-ยูนิคอร์น,10249049,,,
,,,,,,,,"631,666.50",,0.00,0.00,0.00,,,,,,,,,,
