bgtyptnm,ปีงบ,paydate,paytime,rcvno,dkno,หมวดรายจ่าย,bglst,bglstnm,lstnm,paytonm,dkamt,vatamt,taxntramt,taxjrtamt,socamt,pljobperamt,fineamt,total,banknm,branchnm,checksno,checksamt,note
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,92331,630000145,630000007,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น ค่าประกันความเสียหาย,บัญชีเงินฝากนอกงบประมาณ วพบ.,9000,0,0,0,0,0,0,9000,ธนาคารกรุงไทย,ศรีย่าน,10249148,9000," บริษัท ฟอร์ท เวนติ้ง จำกัด โอนเงินเข้าบัญชีเงินรายได้คณะ     แพทยศาสตร์วชิรพยาบาล - รพ. เข้าผิดบัญชี จึงต้องถอน     บัญชีเงินรายได้คณะแพทยศาสตร์วชิรพยาบาล-รพ. เพื่อนำ
 ฝากเข้าบัญชีเงินฝากนอกงบประมาณ วพบ. เลขที่บัญชี 
 ๐๑๒-๑-๖๙๖๔๖-๔"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,92450,630000147,630000005,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น ค่ารักษาพยาบาล,ศูนย์บริการโลหิตแห่งชาติ สภากาชาดไทย,26500,0,0,0,0,0,0,26500,ธนาคารกรุงไทย,ศรีย่าน,10249149,26500,"ค่าตรวจเนื้อเยื่อ Tissue Typing และ infectious Maker 
 รวม ๒ ราย ๑. รายนางเมทิกา ถิรนัยโชติการ
 ๒. รายนางสาวศรันญา สุวรรณชาตรี 
 เพื่อจ่ายให้ศูนย์บริการโลหิตแห่งชาติ สภากาชาดไทย
 "
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,92931,630000151,630000011,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น (ถอนคืนค่ารักษาพยาบาล),คกก.รับ-ส่งเงินคณะแพทยศาสตร์วชิรพยาบาล,10560,0,0,0,0,0,0,10560,ธนาคารกรุงไทย,ศรีย่าน,10249150-51,10560,"สั่งจ่ายเช็ค 2 ฉบับ

1. รายได้คณะแพทยศาสตร์วชิรพยาบาล 555.-
2. นาง ช้อย ฉิมพาลี  10,005.-"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,93112,630000148,630000010,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น (ถอนคืนค่าที่จอดรถยนต์),คกก.รับ-ส่งเงินคณะแพทยศาสตร์วชิรพยาบาล,2000,0,0,0,0,0,0,2000,ธนาคารกรุงไทย,ศรีย่าน,10249152-53,2000,"สั่งจ่ายเช็ค 2 ราย 

 1. นางสาว ศิริกาญจน์ พรหมพงศา 1,000.-
 2. นาย โสฬส จาตุรพิศานุกูล 1,000.-"
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,93156,630000149,630000009,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น (ถอนคืนค่ารักษาพยาบาล),คกก.รับ-ส่งเงินคณะแพทยศาสตร์วชิรพยาบาล,21959,0,0,0,0,0,0,21959,ธนาคารกรุงไทย,ศรีย่าน,10249154,21959,จ่ายเช็ค  ราย นางสาว เอื้องนภา จันทร์วิเศษ
งบประมาณรายจ่ายประจำปี-รายได้คณะแพทยฯ-โรงพยาบาล,2563,2019-11-08,93225,630000150,630000008,รายจ่ายอื่น,633307001,(633307001) รายจ่ายอื่น,(633307001) รายจ่ายอื่น (ถอนคืนค่ารักษาพยาบาล),คกก.รับ-ส่งเงินคณะแพทยศาสตร์วชิรพยาบาล,190,0,0,0,0,0,0,190,ธนาคารกรุงไทย,ศรีย่าน,10249155,190,"จ่ายเช็ค  ราย นาง จันทรัศม์ ห้วยหงษ์ทอง 
ผู้ทดรองจ่าย"
