i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
18,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทบี.เอ็ล.เอช.เทร็ดดิ้ง จำกัด,2020-09-14," 131,117.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
19,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทสยามฟาร์มาซูติคอล จำกัด,2020-09-14," 109,953.20 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
20,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-15," 242,355.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
21,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเบอร์ลินฟาร์มาซูติคอล อินดัสตรี้ จำกัด,2020-09-14," 114,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
22,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-16," 121,637.60 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
23,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเมดไลน์ จำกัด,2020-09-18," 126,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
24,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทไบโอจีนีเทค จำกัด,2020-09-18," 111,280.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
25,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทบี.เอ็ล.ฮั้ว จำกัด,2020-09-16," 189,689.60 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
26,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-15," 168,428.70 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
27,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทโมเดิร์น แบรนด์ส จำกัด,2020-09-16," 366,047.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
28,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัททีอาร์บี เชอร์เม็ดดิก้า (ประเทศไทย) จำกัด,2020-09-18," 149,265.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
29,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-15," 160,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
30,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 486,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
31,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 148,387.60 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
32,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-16," 428,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
33,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-15," 454,792.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
34,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทไบโอจีนีเทค จำกัด,2020-09-22," 351,013.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
35,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทโมเดิร์น แบรนด์ส จำกัด,2020-09-16," 263,220.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
36,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-16," 128,400.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
37,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทแคสป้า ฟาร์มาซูติคอล (ประเทศไทย) จำกัด,2020-09-18," 192,600.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
38,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทสยามฟาร์มาซูติคอล จำกัด,2020-09-18," 126,795.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
39,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเมดไลน์ จำกัด,2020-09-18," 242,136.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
40,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 390,015.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
41,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-22," 163,710.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
42,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 131,610.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
43,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 439,022.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
44,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-18," 481,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
45,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 338,066.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
46,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 291,040.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
47,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-18," 366,903.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
48,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-22," 169,990.90 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
49,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทโนว่า เฮลธ์แคร์ จำกัด,2020-09-23," 239,680.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
50,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-21," 128,011.59 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
51,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทอเมริกัน ไต้หวัน ไบโอฟาร์ม จำกัด,2020-09-22," 180,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
52,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทบี.เอ็ล.ฮั้ว จำกัด,2020-09-21," 294,036.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
53,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-23," 134,392.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
54,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-22," 414,732.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
55,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเอสพีเอส เมดิคอล จำกัด,2020-09-23," 216,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
56,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทคอสม่า เทรดดิ้ง จำกัด,2020-09-24," 240,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
57,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-23," 479,360.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
58,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-28," 331,272.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
59,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีทแฮล์ม เคลเลอร์ โลจิสติกส์ จำกัด,2020-09-23," 126,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
60,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-23," 304,629.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
61,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-09-28," 391,727.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
62,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัท เมดไลน์ จำกัด,2020-09-24," 42,800.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
63,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทแอตแลนติค ฟาร์มาซูติคอล จำกัด,2020-09-24," 13,780.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
,,,,,,,,,
