i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขเครื่องทดสอบสมรรถภาพหัวใจขณะออกกำลังกาย จำนวน 1 เครื่อง,ค่าใช้สอย,บจก.เซนต์เมด,2020-02-28," 31,666.66 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,จ้างเหมาซ่อมเครื่องถ่ายเอกสารระบบดิจิตอล ขาว ดำ,ค่าใช้สอย,บริษัท ฟู่ฟ่า โซลูชั่น จำกัด,2020-09-01," 4,066.00 ",50301020253,ค่าบำรุงรักษาซ่อมแซมครุภัณฑ์ และทรัพย์สิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,จ้างเหมาเปลี่ยนชุดควบคุมประตูไฟฟ้าอัตโนมัติ,ค่าใช้สอย,บริษัท ธนูเทพ จก.,2020-09-09," 15,194.00 ",50301020253,ค่าบำรุงรักษาซ่อมแซมครุภัณฑ์ และทรัพย์สิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,จ้างเหมาบริการเก็บขนและกำจัดมูลฝอยผลิตภัณฑ์เคมีบำบัดและสารเคมี,ค่าใช้สอย,บจก.เอส ซี ไอ อีโค่ เซอร์วิสเซส,2020-09-01," 79,153.27 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"จ้างเหมาบริการการตรวจวินิจฉัยด้วยเครื่องเอกซเรย์คอมพิวเตอร์ (5 ปี=161,000,000.-บาท)",โครงการต่อเนื่อง,บจก.เอ๊กซ์เรย์คอมพิวเตอร์อุรุพงษ์,2020-09-10," 3,366,535.31 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,จ้างเหมาตรวจสอบประสิทธิภาพการทำงานระบบไฟฟ้า จำนวน 1 งาน,ค่าใช้สอย,บจก.ไซด์ไลน์วิศวกรรม(2002),2020-08-25," 496,480.00 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,จัดซื้อวัสดุงานช่าง จำนวน 1 รายการ,ค่าวัสดุ,บริษัท มิตซูบิชิ เอลเลเวเตอร์ประเทศไทย จำกัด,2020-08-28," 16,050.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"จัดซื้อสบู่เหลวพร้อมใช้ (ฃนิดหัวปั๊ม)จำนวน 4,800 ขวด",ค่าวัสดุ,บริษัท โพส เฮลท์แคร์ จำกัด,2020-09-14," 40,000.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"จัดซื้อกระป๋องทิ้งของแหลมคม ขนาด 5x7 นิ้ว จำนวน 10,000 ใบ ",ค่าวัสดุ,บริษัท ชินเมดิคอล จำกัด,2020-09-11," 19,200.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,จัดซื้อวัสดุงานบ้านงานครัวกระดาษชำระ จำนวน 2 รายการ,ค่าวัสดุ,บริษัท วินโปรฟิทส์ จำกัด,2020-09-15," 43,002.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"จัดซื้อน้ำมันดีเซลหมุนเร็ว 16,000 ลิตร",ค่าวัสดุ,บริษัท ปตท จำกัด (มหาชน),2020-08-31," 177,020.80 ",50301020301,ค่าวัสดุน้ำมันเชื้อเพลิงและหล่อลื่น,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"จัดซื้อน้ำมันดีเซลหมุนเร็ว 16,000 ลิตร",ค่าวัสดุ,บริษัท ปตท จำกัด (มหาชน),2020-08-14," 177,020.80 ",50301020301,ค่าวัสดุน้ำมันเชื้อเพลิงและหล่อลื่น,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,จ้างเหมาพิมพ์สติ๊กเกอร์ติดซองยา จำนวน 1 รายการ,ค่าวัสดุ,บจก.ซิสเต็ม เอส,2020-08-27," 155,150.00 ",50301020302,ค่าวัสดุสำนักงาน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,จัดซื้อเพลารถเข็นเวชภัณฑ์ขับเคลื่อนที่ด้วยระบบไฟฟ้า จำนวน 1 ชุด,ค่าวัสดุ,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-11," 19,260.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,จัดซื้ออุปกรณ์ผ่าตัดผ่านกล้องโพรงมดลูก (Hysteroscopy) จำนวน 17 รายการ,ค่าวัสดุ,บริษัท บีเจเอช เมดิคอล จำกัด,2020-09-11," 660,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,แบตเตอรี่สำหรับเครื่องวัดสัญญาณชีพผู้ป่วย 2 รายการ,วัสดุ,บริษัท โซวิค จำกัด,2020-09-03," 1,627,500.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,อุปกรณ์ผ่าตัดปอดภายใต้กล้องส่องตรวจ 9 รายการ,วัสดุ,บริษัท ฟิวเจอร์ เมดิคอล ซัพพลาย จำกัด,2020-09-09," 780,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33, ใบสั่งซื้อ 1C194-01/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-06," 305,300.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34, ใบสั่งซื้อ 1C194-02/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-13," 105,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35, ใบสั่งซื้อ 1C194-03/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-23," 125,200.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36, ใบสั่งซื้อ 1C194-04/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-05-22," 57,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37, ใบสั่งซื้อ 1C194-05/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-06-22," 106,200.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38, ใบสั่งซื้อ 1C194-06/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-07-17," 155,100.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39, ใบสั่งซื้อ 1C194-07/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-28," 72,100.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40, ใบสั่งซื้อ 1C194-08/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-25," 153,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41, ใบสั่งซื้อ 1C195-02/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-03-20," 13,920.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, ใบสั่งซื้อ 1C195-03/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-06-19," 13,920.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43, ใบสั่งซื้อ 1C195-04/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-07-18," 16,240.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44, ใบสั่งซื้อ 1C219-01/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-03-23," 48,050.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, ใบสั่งซื้อ 1C219-02/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-06-26," 51,950.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46, ใบสั่งซื้อ 1C219-03/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-09-01," 78,950.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, ใบสั่งซื้อ 1C224-02/2563, ค่าวัสดุ, บริษัท เมดิทอป จำกัด,2020-06-22," 1,240,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, ใบสั่งซื้อ 1C224-03/2563, ค่าวัสดุ, บริษัท เมดิทอป จำกัด,2020-07-24," 1,085,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, ใบสั่งซื้อ 1C248-01/2563, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-06-20," 716,472.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, ใบสั่งซื้อ 1C248-02/2563, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-06-03," 598,344.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, ใบสั่งซื้อ 1C248-03/2564, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-09-01," 993,816.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, ใบสั่งซื้อ 1C253-01/2563, ค่าวัสดุ, บริษัท วายดี ไดซ์นอสติคส์ (ประเทศไทย) จำกัด,2020-04-16," 49,000.30 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, ใบสั่งซื้อ 1C253-02/2564, ค่าวัสดุ, บริษัท วายดี ไดซ์นอสติคส์ (ประเทศไทย) จำกัด,2020-07-17," 124,417.30 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54, ใบสั่งซื้อ 1C258-01/2563, ค่าวัสดุ, บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),2020-06-12," 532,600.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55, ใบสั่งซื้อ 1C259-01/2563, ค่าวัสดุ, บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),2020-05-28," 826,492.32 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56, ใบสั่งซื้อ 1C259-02/2563, ค่าวัสดุ, บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),2020-06-24," 591,725.76 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57, ใบสั่งซื้อ 1C300-01/2563, ค่าวัสดุ, ไอดีไอ (ประเทศไทย) จำกัด,2020-07-06," 399,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58, ใบสั่งซื้อ 1C300-02/2564, ค่าวัสดุ, ไอดีไอ (ประเทศไทย) จำกัด,2020-08-28," 76,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59, ใบสั่งซื้อ 1C380-01/2563, ค่าวัสดุ, บริษัท โปรเฟสชั่นแนลนาโนเมด จำกัด,2020-09-29," 510,370.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
