i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
218,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0370/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-26," 169,145.40 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
219,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0370/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-09," 864,334.20 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
220,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0370/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,2020-09-17," 1,387,843.90 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
221,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0371/63-65,โครงการต่อเนื่อง,บริษัท บี.เอ็ล.ฮั้ว จำกัด,2020-08-24," 537,889.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
222,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0371/63-65,โครงการต่อเนื่อง,บริษัท บี.เอ็ล.ฮั้ว จำกัด,2020-09-14," 537,889.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
223,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0372/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด ,2020-08-13," 412,913.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
224,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0372/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด ,2020-08-18," 657,472.20 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
225,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0372/63-65,โครงการต่อเนื่อง,บริษัท ซิลลิค ฟาร์มา จำกัด ,2020-09-01," 1,095,787.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
226,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0373/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-08-20," 19,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
227,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0373/63-65,โครงการต่อเนื่อง,บริษัท แปซิฟิค เฮลธ์แคร์ (ไทยแลนด์) จำกัด,2020-09-11," 19,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
228,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0374/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด ,2020-08-18," 28,890.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
229,โครงการฯ คณะแพทยศาสตร์ฯ พวช.ภ.0374/63-65,โครงการต่อเนื่อง,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด ,2020-09-14," 366,047.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
230,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทดีเคเอสเอช (ประเทศไทย) จำกัด,2020-08-24," 128,239.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
231,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเมดไลน์ จำกัด,2020-08-25," 56,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
232,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,2020-08-20," 136,746.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
