i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขเครื่องวัดความหนาแน่นของกระดูก,ค่าใช่สอย,บีเจเอช เมดิคอล,2020-06-01," 25,000.00 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขครุภัณฑ์ทางการแพทย์ของตึกผ่าตัดศัลยกรรมจำนวน 5 เครื่อง,ค่าใช้สอย,บจก.นำวิวัฒน์การช่าง (1992),2020-08-21," 144,113.31 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขเครื่องพยุงการทำงานของหัวใจ จำนวน 3 เครื่อง,ค่าใช้สอย,บจก.ไอดีเอส ซิสเต็มส์ (ประเทศไทย),2020-06-30," 120,000.00 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขเครื่องทดสอบสมรรถภาพหัวใจขณะออกกำลังกาย จำนวน 1 เครื่อง,ค่าใช้สอย,บจก.เซนต์เมด,2020-06-30," 31,666.66 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,จ้างเหมาบริการบำรุงรักษาและซ่อมแซมแก้ไขเครื่องทดสอบสมรรถภาพหัวใจขณะออกกำลังกาย จำนวน 1 เครื่อง,ค่าใช้สอย,บจก.เซนต์เมด,2020-02-28," 31,666.66 ",50301020230,ค่าบำรุงรักษาและซ่อมแซมครุภัณฑ์ทางการแพทย์,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,จ้างเหมาซ่อมเครื่องถ่ายเอกสารระบบดิจิตอล ขาว ดำ,ค่าใช้สอย,บริษัท ฟู่ฟ่า โซลูชั่น จำกัด,2020-09-01," 4,066.00 ",50301020253,ค่าบำรุงรักษาซ่อมแซมครุภัณฑ์ และทรัพย์สิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,จ้างเหมาเปลี่ยนชุดควบคุมประตูไฟฟ้าอัตโนมัติ,ค่าใช้สอย,บริษัท ธนูเทพ จก.,2020-09-09," 15,194.00 ",50301020253,ค่าบำรุงรักษาซ่อมแซมครุภัณฑ์ และทรัพย์สิน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,จ้างเหมาบริการเก็บขนและกำจัดมูลฝอยผลิตภัณฑ์เคมีบำบัดและสารเคมี,ค่าใช้สอย,บจก.เอส ซี ไอ อีโค่ เซอร์วิสเซส,2020-09-01," 79,153.27 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"จ้างเหมาบริการการตรวจวินิจฉัยด้วยเครื่องเอกซเรย์คอมพิวเตอร์ (5 ปี=161,000,000.-บาท)",โครงการต่อเนื่อง,บจก.เอ๊กซ์เรย์คอมพิวเตอร์อุรุพงษ์,2020-09-10," 3,366,535.31 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,จ้างเหมาตรวจสอบประสิทธิภาพการทำงานระบบไฟฟ้า จำนวน 1 งาน,ค่าใช้สอย,บจก.ไซด์ไลน์วิศวกรรม(2002),2020-08-25," 496,480.00 ", 50301020209 ,ค่าจ้างเหมาบริการ (กำจัดปลวก กำจัดขยะฯ),20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
